iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
32,0.35530759066216416,0.0,0.352,0.8863655610828414,7.46389659270999,0.9405579122134959,0.7973944175561891,0.8922694424186169,0.9162036730093482,0.9392295962341709,0.1410459587955626,0.22900158478605387,0.27812995245641836,0.3328050713153724,0.7919482944533571,0.8867659048470663,0.910909186544986,0.9341977224311601,0.01607579486092632,4596924,40343,4637267,6.25e-06
33,0.3243183817062445,0.0,0.3213040952657566,0.9174856157765282,7.293498257164986,0.9707796208694766,0.786393101319445,0.8885926139983318,0.9145414781198075,0.9396234098029043,0.1463981409759876,0.24632068164213788,0.29124709527498066,0.3446940356312936,0.7810122955090132,0.8831926643742837,0.9093010836719808,0.9346214963009274,0.01657816345033027,4749185,41634,4790819,6.4453125e-06
34,0.35895089966453186,0.0,0.3554817275747508,0.8219036668187436,7.335459183673473,0.8739598205465343,0.8057132740677044,0.8997331782141909,0.9245691017842916,0.9486968727475057,0.1554160125588697,0.24489795918367346,0.2990580847723705,0.3469387755102041,0.8005168347634101,0.8945004766922575,0.9195707260775754,0.9438883034773445,0.017080532039734215,4907343,42908,4950251,6.6406250000000005e-06
35,0.34288,0.0,0.3394044979410833,0.8860071030032186,7.4309342421812365,0.94751740480804,0.7930669307835891,0.8932383528246542,0.9195840158470153,0.944108795855396,0.16279069767441862,0.24859663191659984,0.28789093825180434,0.3448275862068966,0.7871352885239468,0.8871715143922356,0.9136390394107259,0.9384688533003276,0.017582900629138164,5038598,44155,5082753,6.8359375e-06
36,0.3181033774344646,0.0,0.3147922257461169,0.8619694012577149,7.482874015748029,0.9232688559832845,0.7987655140373,0.8990730293577576,0.9231875400986704,0.9471471870091369,0.14645669291338584,0.22913385826771654,0.2803149606299213,0.32440944881889766,0.7927129528833298,0.8928568819270418,0.9172225347584988,0.941369006305115,0.01808526921854211,5174201,45425,5219626,7.031250000000001e-06
37,0.3158263851009117,0.0,0.3127073528277139,0.855118002934832,7.375294117647057,0.9101472837965063,0.7999986579793195,0.898462715310443,0.9229344624200659,0.9459098564708882,0.1592156862745098,0.23215686274509803,0.2823529411764706,0.3341176470588235,0.7945630189482649,0.892810570576964,0.9175005322546306,0.9407201405152225,0.018587637807946058,5323230,46700,5369930,7.2265625e-06
38,0.32926483110984955,0.0,0.3263009845288326,0.8703077506200273,7.312157131661442,0.9236593312558409,0.795178515338708,0.8969217882944195,0.9223445188985446,0.9462359962307612,0.15595611285266459,0.24843260188087773,0.29310344827586204,0.335423197492163,0.789885263349168,0.8915518002232432,0.9171339199958466,0.9411779975598993,0.019090006397350007,5476046,47976,5524022,7.421875e-06
39,0.30973451327433627,0.0,0.3064287501042275,0.9121476148005252,7.401367961934974,0.9728129833314705,0.7913979789163199,0.8904506429694731,0.9161017012919586,0.9399393524405751,0.14591593973037273,0.22839016653449642,0.2775574940523394,0.33068992862807295,0.7853309481216458,0.8842277877161598,0.9100998807394156,0.9342128801431127,0.019592374986753952,5608945,49237,5658182,7.6171875000000005e-06
40,0.34438276913454774,0.0,0.3409706633640375,0.8437046752031855,7.31533195429472,0.9006188488282857,0.8031048423572308,0.899826735601311,0.9249326773872564,0.947895429020743,0.16548463356973994,0.2639873916469661,0.30260047281323876,0.35224586288416077,0.7975237963857084,0.8942612774175749,0.9194854462684509,0.9426817492067872,0.0200947435761579,5752656,50506,5803162,7.8125e-06
41,0.3055785590604532,0.0,0.30266199388561627,0.8666124383428291,7.488450551615447,0.9222376633407956,0.7970932213012376,0.8982694247223131,0.9228554826040783,0.9459587627488829,0.14972419227738376,0.23798266351457842,0.28368794326241137,0.32545311268715527,0.7916523167404033,0.8927199512544043,0.9174835086232018,0.9407436352557819,0.02059711216556185,5902375,51775,5954150,8.0078125e-06
